"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2018,"Milan","Serie A","opponent",24,38,41,408,130,31.9,10.74,3.42,0.1,0.3,18.7,10,2,3,36.9,34.7,0.09,4.1,4.3,"https://fbref.com/en/squads/dc56fe14/2017-2018/Milan-Stats"
2018,"Monaco","Ligue 1","team",32,38,83,483,169,35,12.71,4.45,0.16,0.45,17.9,34,7,8,62.3,56.1,0.12,20.7,19.9,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
2018,"Monaco","Ligue 1","opponent",32,38,44,454,142,31.3,11.95,3.74,0.09,0.27,18.8,25,5,5,48.5,45,0.1,-4.5,-6,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
2018,"Montpellier","Ligue 1","team",23,38,36,490,154,31.4,12.89,4.05,0.07,0.23,20.5,25,0,2,42.6,41,0.09,-6.6,-5,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
2018,"Montpellier","Ligue 1","opponent",23,38,33,380,112,29.5,10,2.95,0.07,0.25,19.8,26,5,6,39,34.4,0.09,-6,-6.4,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
2018,"Málaga","La Liga","team",37,38,23,397,108,27.2,10.45,2.84,0.05,0.18,18.7,14,4,6,38.4,33.7,0.09,-15.4,-14.7,"https://fbref.com/en/squads/1c896955/2017-2018/Malaga-Stats"
2018,"Málaga","La Liga","opponent",37,38,61,453,163,36,11.92,4.29,0.12,0.34,18.3,17,6,7,59.4,53.8,0.12,1.6,1.2,"https://fbref.com/en/squads/1c896955/2017-2018/Malaga-Stats"
2018,"Nantes","Ligue 1","team",30,38,36,496,129,26,13.05,3.39,0.06,0.25,19.9,34,4,5,41.8,37.9,0.08,-5.8,-5.9,"https://fbref.com/en/squads/d7a486cd/2017-2018/Nantes-Stats"
2018,"Nantes","Ligue 1","opponent",30,38,40,471,135,28.7,12.39,3.55,0.08,0.27,19.7,26,3,4,38.1,34.9,0.08,1.9,2.1,"https://fbref.com/en/squads/d7a486cd/2017-2018/Nantes-Stats"
2018,"Napoli","Serie A","team",23,38,73,648,245,37.8,17.05,6.45,0.1,0.27,19,20,6,8,67.1,60.7,0.1,5.9,6.3,"https://fbref.com/en/squads/d48ad4ff/2017-2018/Napoli-Stats"
