"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","Url"
2018,"Bologna","Serie A","team",30,26.8,38,3420,90,100,38,418,NA,NA,113,0,331,1.03,40,52,-12,-0.32,36.6,51.4,-14.8,-0.39,"https://fbref.com/en/squads/1d8099f8/2017-2018/Bologna-Stats"
2018,"Bologna","Serie A","opponent",30,27.1,38,3420,90,100,38,418,NA,NA,111,21,316,1.82,52,40,12,0.32,51.4,36.6,14.8,0.39,"https://fbref.com/en/squads/1d8099f8/2017-2018/Bologna-Stats"
2018,"Bordeaux","Ligue 1","team",31,25.1,38,3420,90,100,38,418,84,303,112,21,153,1.45,53,48,5,0.13,51,43.6,7.5,0.2,"https://fbref.com/en/squads/123f3efe/2017-2018/Bordeaux-Stats"
2018,"Bordeaux","Ligue 1","opponent",31,25.8,38,3420,90,100,38,418,84,312,103,23,159,1.37,48,53,-5,-0.13,43.6,51,-7.5,-0.2,"https://fbref.com/en/squads/123f3efe/2017-2018/Bordeaux-Stats"
2018,"Bournemouth","Premier League","team",22,26.9,38,3420,90,100,38,418,NA,NA,109,0,157,1.16,45,61,-16,-0.42,38.8,59.2,-20.4,-0.54,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Bournemouth","Premier League","opponent",22,26.9,38,3420,90,100,38,418,NA,NA,106,18,160,1.55,61,45,16,0.42,59.2,38.8,20.4,0.54,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Brighton","Premier League","team",24,27.5,38,3420,90,100,38,418,NA,NA,101,0,165,1.05,34,54,-20,-0.53,37,50.8,-13.8,-0.36,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Brighton","Premier League","opponent",24,27,38,3420,90,100,38,418,NA,NA,105,16,161,1.61,54,34,20,0.53,50.8,37,13.8,0.36,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Burnley","Premier League","team",24,27.5,38,3420,90,100,38,418,NA,NA,83,0,183,1.42,36,39,-3,-0.08,32.3,51.2,-18.9,-0.5,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Burnley","Premier League","opponent",24,27,38,3420,90,100,38,418,NA,NA,96,18,169,1.26,39,36,3,0.08,51.2,32.3,18.9,0.5,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Caen","Ligue 1","team",26,27.3,38,3420,90,100,38,418,84,320,95,25,170,1,27,52,-25,-0.66,42.8,48,-5.2,-0.14,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Caen","Ligue 1","opponent",26,25.9,38,3420,90,100,38,418,84,306,109,18,157,1.79,52,27,25,0.66,48,42.8,5.2,0.14,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Cagliari","Serie A","team",29,27.1,38,3420,90,100,38,418,NA,NA,114,0,295,1.03,33,61,-28,-0.74,39.7,59.2,-19.5,-0.51,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Cagliari","Serie A","opponent",29,27.1,38,3420,90,100,38,418,NA,NA,111,20,311,1.82,61,33,28,0.74,59.2,39.7,19.5,0.51,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Celta Vigo","La Liga","team",23,25.7,38,3420,90,100,38,418,85,308,109,19,157,1.29,59,60,-1,-0.03,55,55.3,-0.3,-0.01,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Celta Vigo","La Liga","opponent",23,26.8,38,3420,90,100,38,418,85,308,110,21,156,1.45,60,59,1,0.03,55.3,55,0.3,0.01,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Chelsea","Premier League","team",26,26.7,38,3420,90,100,38,418,NA,NA,109,0,157,1.84,62,38,24,0.63,54.4,33.8,20.6,0.54,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
2018,"Chelsea","Premier League","opponent",26,26.9,38,3420,90,100,38,418,NA,NA,107,19,159,0.97,38,62,-24,-0.63,33.8,54.4,-20.6,-0.54,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
2018,"Chievo","Serie A","team",25,30.3,38,3420,90,100,38,418,NA,NA,109,0,345,1.05,36,59,-23,-0.61,34.1,55.2,-21.2,-0.56,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
2018,"Chievo","Serie A","opponent",25,26.6,38,3420,90,100,38,418,NA,NA,111,20,309,1.68,59,36,23,0.61,55.2,34.1,21.2,0.56,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
2018,"Crotone","Serie A","team",29,25.6,38,3420,90,100,38,418,NA,NA,114,0,318,0.92,40,66,-26,-0.68,34.6,58.6,-24,-0.63,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
2018,"Crotone","Serie A","opponent",29,27.1,38,3420,90,100,38,418,NA,NA,110,22,309,1.87,66,40,26,0.68,58.6,34.6,24,0.63,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
2018,"Crystal Palace","Premier League","team",28,27.1,38,3420,90,100,38,418,NA,NA,73,0,191,1.16,45,55,-10,-0.26,53.5,48.2,5.2,0.14,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
2018,"Crystal Palace","Premier League","opponent",28,27,38,3420,90,100,38,418,NA,NA,107,21,159,1.55,55,45,10,0.26,48.2,53.5,-5.2,-0.14,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
2018,"Dijon","Ligue 1","team",26,26.6,38,3420,90,100,38,418,84,302,111,20,154,1.26,55,73,-18,-0.47,41.6,63.8,-22.2,-0.58,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
2018,"Dijon","Ligue 1","opponent",26,25.8,38,3420,90,100,38,418,84,308,108,22,158,1.5,73,55,18,0.47,63.8,41.6,22.2,0.58,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
2018,"Dortmund","Bundesliga","team",30,25.9,34,3060,90,100,34,374,NA,NA,95,0,141,1.62,64,47,17,0.5,66,42.2,23.8,0.7,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
2018,"Dortmund","Bundesliga","opponent",30,25.6,34,3060,90,100,34,374,NA,NA,96,23,142,1.09,47,64,-17,-0.5,42.2,66,-23.8,-0.7,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
2018,"Eibar","La Liga","team",27,27.4,38,3420,90,100,38,418,84,303,113,20,153,1.34,44,50,-6,-0.16,40.9,44.4,-3.5,-0.09,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
2018,"Eibar","La Liga","opponent",27,26.8,38,3420,90,100,38,418,84,303,110,23,156,1.42,50,44,6,0.16,44.4,40.9,3.5,0.09,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
2018,"Eint Frankfurt","Bundesliga","team",28,26.4,34,3060,90,100,34,374,NA,NA,101,0,137,1.44,45,45,0,0,42.2,41.7,0.5,0.01,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
2018,"Eint Frankfurt","Bundesliga","opponent",28,25.5,34,3060,90,100,34,374,NA,NA,99,23,138,1.35,45,45,0,0,41.7,42.2,-0.5,-0.01,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
2018,"Espanyol","La Liga","team",25,26.8,38,3420,90,100,38,418,84,312,105,25,161,1.29,36,42,-6,-0.16,41.1,52.3,-11.1,-0.29,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
2018,"Espanyol","La Liga","opponent",25,26.5,38,3420,90,100,38,418,84,303,113,19,153,1.37,42,36,6,0.16,52.3,41.1,11.1,0.29,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
2018,"Everton","Premier League","team",30,26.7,38,3420,90,100,38,418,NA,NA,114,0,152,1.29,44,58,-14,-0.37,40.5,52.4,-11.9,-0.31,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
2018,"Everton","Premier League","opponent",30,27,38,3420,90,100,38,418,NA,NA,102,18,164,1.45,58,44,14,0.37,52.4,40.5,11.9,0.31,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
2018,"Fiorentina","Serie A","team",27,25,38,3420,90,100,38,418,NA,NA,111,0,325,1.5,54,46,8,0.21,54.5,40.8,13.7,0.36,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
2018,"Fiorentina","Serie A","opponent",27,26.9,38,3420,90,100,38,418,NA,NA,114,23,307,1.26,46,54,-8,-0.21,40.8,54.5,-13.7,-0.36,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
2018,"Freiburg","Bundesliga","team",29,24.8,34,3060,90,100,34,374,NA,NA,96,0,142,1.06,32,56,-24,-0.71,39.6,46.1,-6.6,-0.19,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
2018,"Freiburg","Bundesliga","opponent",29,25.6,34,3060,90,100,34,374,NA,NA,98,18,139,1.59,56,32,24,0.71,46.1,39.6,6.6,0.19,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
2018,"Genoa","Serie A","team",33,27.9,38,3420,90,100,38,418,NA,NA,113,0,329,1.08,33,43,-10,-0.26,43.5,42.6,0.9,0.02,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
2018,"Genoa","Serie A","opponent",33,26.9,38,3420,90,100,38,418,NA,NA,112,21,314,1.71,43,33,10,0.26,42.6,43.5,-0.9,-0.02,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
2018,"Getafe","La Liga","team",32,28.2,38,3420,90,100,38,418,84,300,113,19,153,1.45,42,33,9,0.24,48.2,39.7,8.5,0.22,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
2018,"Getafe","La Liga","opponent",32,26.7,38,3420,90,100,38,418,84,304,112,23,152,1.29,33,42,-9,-0.24,39.7,48.2,-8.5,-0.22,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
2018,"Girona","La Liga","team",25,26.3,38,3420,90,100,38,418,85,312,106,19,159,1.34,50,59,-9,-0.24,50.6,50.4,0.2,0.01,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
2018,"Girona","La Liga","opponent",25,26.8,38,3420,90,100,38,418,85,306,109,22,154,1.42,59,50,9,0.24,50.4,50.6,-0.2,-0.01,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
2018,"Gladbach","Bundesliga","team",27,25.7,34,3060,90,100,34,374,NA,NA,97,0,140,1.38,47,52,-5,-0.15,51.1,52,-0.8,-0.02,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
2018,"Gladbach","Bundesliga","opponent",27,25.4,34,3060,90,100,34,374,NA,NA,98,19,139,1.38,52,47,5,0.15,52,51.1,0.8,0.02,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
2018,"Guingamp","Ligue 1","team",23,27.2,38,3420,90,100,38,418,84,304,113,20,153,1.24,48,59,-11,-0.29,45.5,49,-3.5,-0.09,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
2018,"Guingamp","Ligue 1","opponent",23,25.8,38,3420,90,100,38,418,84,304,108,22,157,1.47,59,48,11,0.29,49,45.5,3.5,0.09,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
2018,"Hamburger SV","Bundesliga","team",29,25,34,3060,90,100,34,374,NA,NA,97,0,138,0.91,29,53,-24,-0.71,37.7,55.9,-18.2,-0.54,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
2018,"Hamburger SV","Bundesliga","opponent",29,25.6,34,3060,90,100,34,374,NA,NA,99,22,137,1.88,53,29,24,0.71,55.9,37.7,18.2,0.54,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
2018,"Hannover 96","Bundesliga","team",26,26.4,34,3060,90,100,34,374,NA,NA,100,0,136,1.15,44,54,-10,-0.29,44.6,55.6,-11,-0.32,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
2018,"Hannover 96","Bundesliga","opponent",26,25.6,34,3060,90,100,34,374,NA,NA,99,21,139,1.59,54,44,10,0.29,55.6,44.6,11,0.32,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
2018,"Hellas Verona","Serie A","team",32,25.9,38,3420,90,100,38,418,NA,NA,113,0,317,0.66,30,78,-48,-1.26,33,70.2,-37.1,-0.98,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats"
2018,"Hellas Verona","Serie A","opponent",32,27.1,38,3420,90,100,38,418,NA,NA,112,19,317,2.24,78,30,48,1.26,70.2,33,37.1,0.98,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats"
2018,"Hertha BSC","Bundesliga","team",25,26.4,34,3060,90,100,34,374,NA,NA,95,0,142,1.26,43,46,-3,-0.09,39.2,44.3,-5.1,-0.15,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats"
2018,"Hertha BSC","Bundesliga","opponent",25,25.5,34,3060,90,100,34,374,NA,NA,99,20,139,1.35,46,43,3,0.09,44.3,39.2,5.1,0.15,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats"
2018,"Hoffenheim","Bundesliga","team",26,25,34,3060,90,100,34,374,NA,NA,102,0,136,1.62,66,48,18,0.53,50.5,47.2,3.3,0.1,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats"
2018,"Hoffenheim","Bundesliga","opponent",26,25.7,34,3060,90,100,34,374,NA,NA,99,21,139,1.09,48,66,-18,-0.53,47.2,50.5,-3.3,-0.1,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats"
2018,"Huddersfield","Premier League","team",25,26.4,38,3420,90,100,38,418,NA,NA,112,0,154,0.97,28,58,-30,-0.79,31.3,48.5,-17.2,-0.45,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats"
2018,"Huddersfield","Premier League","opponent",25,27,38,3420,90,100,38,418,NA,NA,106,20,159,1.76,58,28,30,0.79,48.5,31.3,17.2,0.45,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats"
2018,"Inter","Serie A","team",22,27.6,38,3420,90,100,38,418,NA,NA,110,0,283,1.89,66,30,36,0.95,56.7,37.2,19.6,0.52,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats"
2018,"Inter","Serie A","opponent",22,26.9,38,3420,90,100,38,418,NA,NA,112,18,321,0.79,30,66,-36,-0.95,37.2,56.7,-19.6,-0.52,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats"
2018,"Juventus","Serie A","team",24,29.2,38,3420,90,100,38,418,NA,NA,111,0,267,2.5,86,24,62,1.63,55.3,27.4,27.9,0.73,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats"
2018,"Juventus","Serie A","opponent",24,27,38,3420,90,100,38,418,NA,NA,113,19,316,0.37,24,86,-62,-1.63,27.4,55.3,-27.9,-0.73,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats"
2018,"Köln","Bundesliga","team",31,25.3,34,3060,90,100,34,374,NA,NA,101,0,136,0.65,35,70,-35,-1.03,43.2,67.4,-24.1,-0.71,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats"
2018,"Köln","Bundesliga","opponent",31,25.7,34,3060,90,100,34,374,NA,NA,101,22,136,2.15,70,35,35,1.03,67.4,43.2,24.1,0.71,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats"
2018,"La Coruña","La Liga","team",32,28.2,38,3420,90,100,38,418,84,303,113,22,150,0.76,38,76,-38,-1,51.6,58.7,-7.1,-0.19,"https://fbref.com/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats"
2018,"La Coruña","La Liga","opponent",32,26.7,38,3420,90,100,38,418,84,305,110,22,156,1.95,76,38,38,1,58.7,51.6,7.1,0.19,"https://fbref.com/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats"
2018,"Las Palmas","La Liga","team",36,27,38,3420,90,100,38,418,84,309,106,24,160,0.58,24,74,-50,-1.32,38.5,70.5,-32,-0.84,"https://fbref.com/en/squads/0049d422/2017-2018/Las-Palmas-Stats"
2018,"Las Palmas","La Liga","opponent",36,26.7,38,3420,90,100,38,418,84,298,114,21,151,2.24,74,24,50,1.32,70.5,38.5,32,0.84,"https://fbref.com/en/squads/0049d422/2017-2018/Las-Palmas-Stats"
2018,"Lazio","Serie A","team",24,26.5,38,3420,90,100,38,418,NA,NA,114,0,313,1.89,89,49,40,1.05,63.7,43.9,19.9,0.52,"https://fbref.com/en/squads/7213da33/2017-2018/Lazio-Stats"
2018,"Lazio","Serie A","opponent",24,27,38,3420,90,100,38,418,NA,NA,110,21,315,0.87,49,89,-40,-1.05,43.9,63.7,-19.9,-0.52,"https://fbref.com/en/squads/7213da33/2017-2018/Lazio-Stats"
2018,"Leganés","La Liga","team",28,27.8,38,3420,90,100,38,418,84,304,109,23,157,1.13,34,51,-17,-0.45,39.9,47.6,-7.6,-0.2,"https://fbref.com/en/squads/7c6f2c78/2017-2018/Leganes-Stats"
2018,"Leganés","La Liga","opponent",28,26.5,38,3420,90,100,38,418,84,304,111,19,155,1.68,51,34,17,0.45,47.6,39.9,7.6,0.2,"https://fbref.com/en/squads/7c6f2c78/2017-2018/Leganes-Stats"
2018,"Leicester City","Premier League","team",27,27.2,38,3420,90,100,38,418,NA,NA,107,0,159,1.24,56,60,-4,-0.11,50,48.1,1.9,0.05,"https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats"
2018,"Leicester City","Premier League","opponent",27,26.8,38,3420,90,100,38,418,NA,NA,105,18,161,1.47,60,56,4,0.11,48.1,50,-1.9,-0.05,"https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats"
2018,"Levante","La Liga","team",33,25.7,38,3420,90,100,38,418,83,303,112,25,151,1.21,44,58,-14,-0.37,44.7,63.6,-18.8,-0.5,"https://fbref.com/en/squads/9800b6a1/2017-2018/Levante-Stats"
2018,"Levante","La Liga","opponent",33,26.8,38,3420,90,100,38,418,83,304,108,21,158,1.45,58,44,14,0.37,63.6,44.7,18.8,0.5,"https://fbref.com/en/squads/9800b6a1/2017-2018/Levante-Stats"
