"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2018,"Bordeaux","Ligue 1","opponent",31,38,732,451,342,299,91,306,765,40,459,389,104,285,468,1200,893,13,"https://fbref.com/en/squads/123f3efe/2017-2018/Bordeaux-Stats"
2018,"Bournemouth","Premier League","team",22,38,509,324,272,187,50,198,525,37.7,327,453,160,293,367,876,1129,25,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Bournemouth","Premier League","opponent",22,38,714,500,316,316,82,293,636,46.1,343,441,129,312,555,1269,980,13,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Brighton","Premier League","team",24,38,599,380,360,205,34,205,642,31.9,437,430,190,240,449,1048,1182,18,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Brighton","Premier League","opponent",24,38,483,327,239,182,62,188,487,38.6,299,351,96,255,385,868,854,14,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Burnley","Premier League","team",24,38,533,355,272,217,44,204,553,36.9,349,457,191,266,400,933,1300,8,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Burnley","Premier League","opponent",24,38,472,332,244,185,43,127,345,36.8,218,318,92,226,339,811,1134,14,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Caen","Ligue 1","team",26,38,733,478,369,295,69,276,747,36.9,471,450,97,353,476,1209,961,12,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Caen","Ligue 1","opponent",26,38,626,412,289,276,61,163,469,34.8,306,356,105,251,468,1094,1142,15,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Cagliari","Serie A","team",29,38,640,447,323,239,78,214,559,38.3,345,425,126,299,431,1071,1018,4,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
