"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2018,"Metz","Ligue 1","team",36,38,12673,16957,74.7,265927,110510,4630,5534,83.7,5622,6870,81.8,2313,4029,57.4,27,30,29,-3,330,1466,244,95,1518,"https://fbref.com/en/squads/f83960ae/2017-2018/Metz-Stats"
2018,"Metz","Ligue 1","opponent",36,38,16131,20255,79.6,287331,110659,7229,8258,87.5,6390,7495,85.3,1900,3231,58.8,53,54.4,47.4,-1.4,421,1205,308,81,1763,"https://fbref.com/en/squads/f83960ae/2017-2018/Metz-Stats"
2018,"Milan","Serie A","team",24,38,18086,21918,82.5,340658,119741,7209,8007,90,8362,9452,88.5,2212,3595,61.5,28,35.3,34.7,-7.3,455,1597,364,93,2016,"https://fbref.com/en/squads/dc56fe14/2017-2018/Milan-Stats"
2018,"Milan","Serie A","opponent",24,38,13644,17406,78.4,245034,92818,6002,6812,88.1,5661,6718,84.3,1532,2825,54.2,30,26.3,26.8,3.7,313,1031,230,73,1358,"https://fbref.com/en/squads/dc56fe14/2017-2018/Milan-Stats"
2018,"Monaco","Ligue 1","team",32,38,14444,18393,78.5,263591,98294,6363,7301,87.2,6012,7190,83.6,1744,3055,57.1,56,43.1,34.5,12.9,360,1190,271,77,1742,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
2018,"Monaco","Ligue 1","opponent",32,38,13662,17814,76.7,247701,99618,6115,7053,86.7,5269,6390,82.5,1737,3198,54.3,34,35.8,29.9,-1.8,335,965,246,74,1381,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
2018,"Montpellier","Ligue 1","team",23,38,13612,17725,76.8,253505,102038,6161,7085,87,5149,6322,81.4,1958,3351,58.4,28,31,27,-3,375,1127,246,94,1572,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
2018,"Montpellier","Ligue 1","opponent",23,38,15796,19926,79.3,288456,106046,6906,7799,88.5,6302,7431,84.8,2033,3563,57.1,23,27.5,27,-4.5,272,1096,210,60,1461,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
2018,"Málaga","La Liga","team",37,38,11424,15769,72.4,215599,89948,5144,6089,84.5,4252,5405,78.7,1693,3361,50.4,15,26.3,23.6,-11.3,291,949,213,97,1169,"https://fbref.com/en/squads/1c896955/2017-2018/Malaga-Stats"
2018,"Málaga","La Liga","opponent",37,38,15890,20218,78.6,297135,106437,6910,7997,86.4,6539,7682,85.1,2107,3572,59,44,43.1,36.4,0.9,333,1389,299,76,1777,"https://fbref.com/en/squads/1c896955/2017-2018/Malaga-Stats"
2018,"Nantes","Ligue 1","team",30,38,11823,16263,72.7,209615,94610,5523,6495,85,4195,5342,78.5,1537,3144,48.9,24,29.4,32.3,-5.4,352,1024,262,109,1405,"https://fbref.com/en/squads/d7a486cd/2017-2018/Nantes-Stats"
2018,"Nantes","Ligue 1","opponent",30,38,16435,20918,78.6,305507,114525,7035,8084,87,6577,7856,83.7,2281,3717,61.4,32,26,30.6,6,346,1245,299,88,1757,"https://fbref.com/en/squads/d7a486cd/2017-2018/Nantes-Stats"
2018,"Napoli","Serie A","team",23,38,25306,29387,86.1,387545,129909,14135,15275,92.5,8157,9320,87.5,1928,2961,65.1,45,50.8,43,-5.8,524,2054,425,57,2468,"https://fbref.com/en/squads/d48ad4ff/2017-2018/Napoli-Stats"
2018,"Napoli","Serie A","opponent",23,38,12948,16906,76.6,246565,97554,5256,6121,85.9,5553,6527,85.1,1757,3296,53.3,19,17.7,16.7,1.3,229,770,161,58,1004,"https://fbref.com/en/squads/d48ad4ff/2017-2018/Napoli-Stats"
2018,"Newcastle Utd","Premier League","team",27,38,11071,15659,70.7,199740,86134,5153,6161,83.6,4100,5358,76.5,1385,3119,44.4,29,32.1,26.1,-3.1,321,911,220,75,1145,"https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats"
2018,"Newcastle Utd","Premier League","opponent",27,38,17255,22043,78.3,316958,112210,7370,8518,86.5,7275,8605,84.5,2093,3688,56.8,32,37.4,39.1,-5.4,358,1487,336,71,1844,"https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats"
2018,"Nice","Ligue 1","team",31,38,20210,23523,85.9,358679,117946,9093,9894,91.9,8522,9445,90.2,2086,3115,67,35,31.9,31.8,3.1,358,1289,214,45,1637,"https://fbref.com/en/squads/132ebc33/2017-2018/Nice-Stats"
2018,"Nice","Ligue 1","opponent",31,38,13708,17085,80.2,244409,91136,6289,7056,89.1,5223,6084,85.8,1658,2841,58.4,38,34.3,30.6,3.7,355,1189,272,106,1495,"https://fbref.com/en/squads/132ebc33/2017-2018/Nice-Stats"
2018,"Paris S-G","Ligue 1","team",28,38,23215,26436,87.8,360851,116681,11662,12571,92.8,7845,8702,90.2,1983,2700,73.4,75,65.1,63.1,9.9,460,1523,505,82,2068,"https://fbref.com/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats"
2018,"Paris S-G","Ligue 1","opponent",28,38,10273,13432,76.5,179782,76238,4947,5616,88.1,3705,4456,83.1,1176,2386,49.3,19,22.9,22.1,-3.9,291,718,174,53,1057,"https://fbref.com/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats"
2018,"RB Leipzig","Bundesliga","team",23,34,14318,18354,78,239390,95405,7181,8287,86.7,5238,6383,82.1,1371,2539,54,43,39.6,42.6,3.4,374,1173,284,49,1591,"https://fbref.com/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats"
2018,"RB Leipzig","Bundesliga","opponent",23,34,10914,15146,72.1,213901,88963,4133,5083,81.3,4954,6177,80.2,1558,3047,51.1,34,33,31.2,1,277,930,214,62,1210,"https://fbref.com/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats"
2018,"Real Madrid","La Liga","team",24,38,20954,24496,85.5,358580,120201,10538,11420,92.3,7559,8541,88.5,2276,3309,68.8,65,62.8,58.8,2.2,550,1845,512,122,2383,"https://fbref.com/en/squads/53a2f082/2017-2018/Real-Madrid-Stats"
2018,"Real Madrid","La Liga","opponent",24,38,12894,16245,79.4,232813,94199,6185,6886,89.8,4693,5552,84.5,1626,2872,56.6,34,31.5,28.6,2.5,282,1061,226,57,1229,"https://fbref.com/en/squads/53a2f082/2017-2018/Real-Madrid-Stats"
2018,"Real Sociedad","La Liga","team",27,38,16973,20838,81.5,305627,106582,7580,8448,89.7,6886,7927,86.9,2025,3358,60.3,47,38.9,35.6,8.1,389,1253,313,103,1605,"https://fbref.com/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats"
2018,"Real Sociedad","La Liga","opponent",27,38,12215,16097,75.9,222362,87842,5812,6667,87.2,4378,5374,81.5,1651,3075,53.7,41,35.5,30.2,5.5,292,988,236,62,1244,"https://fbref.com/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats"
2018,"Rennes","Ligue 1","team",28,38,13834,17996,76.9,248468,92927,6125,7052,86.9,5344,6426,83.2,1742,3267,53.3,32,33,30.1,-1,332,1148,192,65,1505,"https://fbref.com/en/squads/b3072e00/2017-2018/Rennes-Stats"
2018,"Rennes","Ligue 1","opponent",28,38,13768,18015,76.4,248318,95213,6118,7067,86.6,5404,6525,82.8,1675,3164,52.9,32,33.8,32.4,-1.8,320,978,248,80,1428,"https://fbref.com/en/squads/b3072e00/2017-2018/Rennes-Stats"
