"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2018,"Bayern Munich","Bundesliga","opponent",28,25.3,33.9,34,374,3060,34,25,18,43,24,1,4,49,2,31.7,28.4,20.9,49.3,440,866,0.74,0.53,1.26,0.71,1.24,0.93,0.61,1.55,0.84,1.45,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats"
2018,"Benevento","Serie A","team",41,26,47.5,38,418,3420,38,32,23,55,30,2,3,79,NA,38.3,36,28.8,64.7,772,1216,0.84,0.61,1.45,0.79,1.39,1.01,0.76,1.77,0.95,1.7,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats"
2018,"Benevento","Serie A","opponent",41,27.1,52.5,38,418,3420,38,82,61,143,72,10,13,68,2,73.2,63,50,113,778,1860,2.16,1.61,3.76,1.89,3.5,1.93,1.32,3.24,1.66,2.97,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats"
2018,"Betis","La Liga","team",29,27.1,56.9,38,418,3420,38,56,43,99,54,2,3,91,3,46,43.7,35.2,78.9,736,1506,1.47,1.13,2.61,1.42,2.55,1.21,0.93,2.14,1.15,2.08,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats"
2018,"Betis","La Liga","opponent",29,26.8,43.1,38,418,3420,38,57,45,102,54,3,4,96,4,49,45.8,35.9,81.7,622,1354,1.5,1.18,2.68,1.42,2.61,1.29,0.95,2.24,1.2,2.15,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats"
2018,"Bologna","Serie A","team",30,26.8,46.8,38,418,3420,38,37,18,55,35,2,3,101,NA,36.6,34.3,24.3,58.6,586,1344,0.97,0.47,1.45,0.92,1.39,0.96,0.64,1.6,0.9,1.54,"https://fbref.com/en/squads/1d8099f8/2017-2018/Bologna-Stats"
2018,"Bologna","Serie A","opponent",30,27.1,53.2,38,418,3420,38,49,36,85,46,3,4,67,3,51.4,48.2,38.2,86.4,756,1844,1.29,0.95,2.24,1.21,2.16,1.35,1,2.36,1.27,2.27,"https://fbref.com/en/squads/1d8099f8/2017-2018/Bologna-Stats"
2018,"Bordeaux","Ligue 1","team",31,25.1,50.6,38,418,3420,38,52,36,88,48,4,6,74,2,51,46.1,35.9,82,875,1501,1.37,0.95,2.32,1.26,2.21,1.34,0.94,2.29,1.21,2.16,"https://fbref.com/en/squads/123f3efe/2017-2018/Bordeaux-Stats"
2018,"Bordeaux","Ligue 1","opponent",31,25.8,49.4,38,418,3420,38,47,30,77,43,4,8,73,3,43.6,37.7,28,65.7,660,1408,1.24,0.79,2.03,1.13,1.92,1.15,0.74,1.88,0.99,1.73,"https://fbref.com/en/squads/123f3efe/2017-2018/Bordeaux-Stats"
2018,"Bournemouth","Premier League","team",22,26.9,48.1,38,418,3420,38,45,36,81,42,3,3,57,NA,38.8,36.4,29.1,65.5,702,1526,1.18,0.95,2.13,1.11,2.05,1.02,0.77,1.79,0.96,1.72,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Bournemouth","Premier League","opponent",22,26.9,51.9,38,418,3420,38,60,44,104,58,2,3,73,1,59.2,56.8,43.7,100.5,700,1665,1.58,1.16,2.74,1.53,2.68,1.56,1.15,2.71,1.5,2.65,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Brighton","Premier League","team",24,27.5,43.7,38,418,3420,38,33,25,58,28,5,7,54,NA,37,31.8,26.2,58,523,1230,0.87,0.66,1.53,0.74,1.39,0.97,0.69,1.66,0.84,1.53,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Brighton","Premier League","opponent",24,27,56.3,38,418,3420,38,49,36,85,48,1,3,30,2,50.8,48.4,34.1,82.5,829,1816,1.29,0.95,2.24,1.26,2.21,1.34,0.9,2.23,1.27,2.17,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Burnley","Premier League","team",24,27.5,43.7,38,418,3420,38,35,26,61,35,0,0,65,NA,32.3,32.3,23.6,55.9,431,1103,0.92,0.68,1.61,0.92,1.61,0.85,0.62,1.47,0.85,1.47,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Burnley","Premier League","opponent",24,27,56.3,38,418,3420,38,38,29,67,35,3,5,45,6,51.2,47.7,38,85.8,866,1572,1,0.76,1.76,0.92,1.68,1.35,1,2.35,1.26,2.26,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Caen","Ligue 1","team",26,27.3,45.5,38,418,3420,38,25,19,44,20,5,8,68,4,42.8,36.6,29.6,66.3,598,1548,0.66,0.5,1.16,0.53,1.03,1.13,0.78,1.91,0.96,1.74,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Caen","Ligue 1","opponent",26,25.9,54.5,38,418,3420,38,48,31,79,43,5,5,73,2,48,44.1,34.2,78.3,666,1553,1.26,0.82,2.08,1.13,1.95,1.26,0.9,2.16,1.16,2.06,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Cagliari","Serie A","team",29,27.1,45.3,38,418,3420,38,33,21,54,29,4,7,96,NA,39.7,34.2,27.4,61.6,464,1348,0.87,0.55,1.42,0.76,1.32,1.04,0.72,1.77,0.9,1.62,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Cagliari","Serie A","opponent",29,27.1,54.7,38,418,3420,38,60,42,102,52,8,12,72,3,59.2,49.9,41.5,91.4,709,1739,1.58,1.11,2.68,1.37,2.47,1.56,1.09,2.65,1.31,2.41,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Celta Vigo","La Liga","team",23,25.7,55.7,38,418,3420,38,57,45,102,55,2,3,85,1,55,52.6,43,95.6,724,1595,1.5,1.18,2.68,1.45,2.63,1.45,1.13,2.58,1.39,2.52,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Celta Vigo","La Liga","opponent",23,26.8,44.3,38,418,3420,38,59,48,107,55,4,5,97,1,55.3,51.4,41.5,92.9,611,1361,1.55,1.26,2.82,1.45,2.71,1.46,1.09,2.55,1.35,2.44,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Chelsea","Premier League","team",26,26.7,55.6,38,418,3420,38,60,42,102,57,3,3,46,NA,54.4,52,41.5,93.5,1045,1998,1.58,1.11,2.68,1.5,2.61,1.43,1.09,2.52,1.37,2.46,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
2018,"Chelsea","Premier League","opponent",26,26.9,44.4,38,418,3420,38,36,26,62,34,2,2,75,1,33.8,32.2,24.4,56.7,582,1400,0.95,0.68,1.63,0.89,1.58,0.89,0.64,1.53,0.85,1.49,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
2018,"Chievo","Serie A","team",25,30.3,44.4,38,418,3420,38,36,20,56,35,1,2,75,NA,34.1,32.5,25.2,57.7,554,1358,0.95,0.53,1.47,0.92,1.45,0.9,0.66,1.56,0.85,1.52,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
2018,"Chievo","Serie A","opponent",25,26.6,55.6,38,418,3420,38,55,34,89,51,4,7,57,6,55.2,49.9,39.1,89.1,873,1719,1.45,0.89,2.34,1.34,2.24,1.45,1.03,2.48,1.31,2.34,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
2018,"Crotone","Serie A","team",29,25.6,39.9,38,418,3420,38,38,21,59,36,2,3,65,NA,34.6,32.2,23.4,55.6,472,1250,1,0.55,1.55,0.95,1.5,0.91,0.62,1.53,0.85,1.46,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
2018,"Crotone","Serie A","opponent",29,27.1,60.1,38,418,3420,38,66,46,112,60,6,8,76,2,58.6,52.4,41,93.4,810,1894,1.74,1.21,2.95,1.58,2.79,1.54,1.08,2.62,1.38,2.46,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
2018,"Crystal Palace","Premier League","team",28,27.1,45.2,38,418,3420,38,44,26,70,36,8,10,72,NA,53.5,45.9,33.3,79.2,727,1308,1.16,0.68,1.84,0.95,1.63,1.41,0.88,2.28,1.21,2.08,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
2018,"Crystal Palace","Premier League","opponent",28,27,54.8,38,418,3420,38,53,40,93,51,2,2,72,3,48.2,46.7,36.2,82.8,744,1724,1.39,1.05,2.45,1.34,2.39,1.27,0.95,2.22,1.23,2.18,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
2018,"Dijon","Ligue 1","team",26,26.6,48.4,38,418,3420,38,52,36,88,47,5,5,70,5,41.6,37.8,29.2,67,659,1320,1.37,0.95,2.32,1.24,2.18,1.09,0.77,1.86,1,1.76,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
2018,"Dijon","Ligue 1","opponent",26,25.8,51.6,38,418,3420,38,70,46,116,59,11,14,59,3,63.8,52.7,39.8,92.6,783,1635,1.84,1.21,3.05,1.55,2.76,1.68,1.05,2.73,1.39,2.44,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
