"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2018,"Bournemouth","Premier League","team",22,38,17962,15874,2036,534,37,112,707,857,218,104,65,1,13450,52,412,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Bournemouth","Premier League","opponent",22,38,19663,17750,1791,367,80,156,806,856,212,103,72,1,14958,122,405,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Brighton","Premier League","team",24,38,16372,14549,1725,322,32,203,680,797,163,89,59,5,11838,98,355,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Brighton","Premier League","opponent",24,38,21606,19639,1916,471,42,112,802,863,228,107,69,12,17192,51,350,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Burnley","Premier League","team",24,38,15340,13382,1858,463,19,107,707,822,167,69,66,14,10524,100,313,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Burnley","Premier League","opponent",24,38,20149,18139,1956,430,38,136,876,933,240,98,70,15,15271,54,400,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Caen","Ligue 1","team",26,38,16218,14169,1973,483,22,213,971,908,202,78,106,6,11621,76,381,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Caen","Ligue 1","opponent",26,38,19629,17434,2141,567,58,198,654,1002,182,73,74,2,15155,54,433,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Cagliari","Serie A","team",29,38,16722,14566,2072,552,21,145,732,867,179,77,77,1,12229,84,369,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Cagliari","Serie A","opponent",29,38,20522,18354,2074,651,33,197,807,871,193,92,77,2,16337,94,391,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Celta Vigo","La Liga","team",23,38,21071,19136,1843,596,45,215,583,718,153,48,34,1,16981,92,323,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Celta Vigo","La Liga","opponent",23,38,16893,14993,1827,492,55,199,669,760,194,79,65,5,12810,73,292,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Chelsea","Premier League","team",26,38,23101,21232,1761,445,69,203,755,748,230,54,76,7,18967,108,405,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
2018,"Chelsea","Premier League","opponent",26,38,18643,16864,1724,447,41,131,626,708,159,88,45,6,14641,55,343,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
