"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2018,"Sassuolo","Serie A","Andrea Consigli","ITA","GK","30",1987,37,37,3316,36.8,58,1.57,172,114,67.4,11,10,16,10,27,3,2,1,0,33.3,"https://fbref.com/en/players/8cabdc1e/Andrea-Consigli"
2018,"Sassuolo","Serie A","Gianluca Pegolo","ITA","GK","36",1981,2,1,104,1.2,1,0.87,6,6,83.3,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/f058ed1f/Gianluca-Pegolo"
2018,"Schalke 04","Bundesliga","Ralf Fährmann","GER","GK","28",1988,34,34,3015,33.5,37,1.1,127,89,73.2,18,9,7,12,35.3,6,3,2,1,40,"https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann"
2018,"Schalke 04","Bundesliga","Alexander Nübel","GER","GK","20",1996,1,0,45,0.5,0,0,2,2,100,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/afb0c500/Alexander-Nubel"
2018,"Sevilla","La Liga","Sergio Rico","ESP","GK","23",1993,24,23,2155,24,39,1.63,92,52,60.9,10,3,10,9,39.1,5,3,1,1,25,"https://fbref.com/en/players/5f0241b2/Sergio-Rico"
2018,"Sevilla","La Liga","David Soria","ESP","GK","24",1993,15,15,1265,14,19,1.35,58,40,70.7,7,4,4,5,33.3,3,2,0,1,0,"https://fbref.com/en/players/8f8c6934/David-Soria"
2018,"Southampton","Premier League","Fraser Forster","ENG","GK","29",1988,20,20,1800,20,30,1.5,97,66,69.1,4,7,9,4,20,1,0,1,0,100,"https://fbref.com/en/players/c3e39f12/Fraser-Forster"
2018,"Southampton","Premier League","Alex McCarthy","ENG","GK","27",1989,18,18,1620,18,26,1.44,68,42,63.2,3,8,7,4,22.2,1,1,0,0,0,"https://fbref.com/en/players/36c2ca73/Alex-McCarthy"
2018,"Stoke City","Premier League","Jack Butland","ENG","GK","24",1993,35,35,3150,35,61,1.74,201,142,72.1,7,11,17,6,17.1,5,5,0,0,0,"https://fbref.com/en/players/cc70a1d5/Jack-Butland"
2018,"Stoke City","Premier League","Lee Grant","ENG","GK","34",1983,3,3,270,3,7,2.33,15,8,53.3,0,1,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/9dab6e3b/Lee-Grant"
2018,"Strasbourg","Ligue 1","Landry Bonnefoi","FRA","GK","33",1983,4,3,271,3,6,1.99,17,11,64.7,2,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/e65dd8dc/Landry-Bonnefoi"
2018,"Strasbourg","Ligue 1","Bingourou Kamara","SEN","GK","20",1996,19,19,1692,18.8,32,1.7,86,54,65.1,4,6,9,2,10.5,2,2,0,0,0,"https://fbref.com/en/players/3814120d/Bingourou-Kamara"
2018,"Strasbourg","Ligue 1","Alexandre Oukidja","ALG","GK","29",1988,17,16,1457,16.2,29,1.79,71,41,64.8,3,5,8,2,12.5,5,4,1,0,20,"https://fbref.com/en/players/ae7d0ecd/Alexandre-Oukidja"
2018,"Stuttgart","Bundesliga","Ron-Robert Zieler","GER","GK","28",1989,34,34,3060,34,36,1.06,155,117,79.4,15,6,13,12,35.3,6,4,2,0,33.3,"https://fbref.com/en/players/a0606ae8/Ron-Robert-Zieler"
2018,"Swansea City","Premier League","Łukasz Fabiański","POL","GK","32",1985,38,38,3420,38,56,1.47,190,133,72.1,8,9,21,9,23.7,6,3,3,0,50,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
2018,"Torino","Serie A","Vanja Milinković-Savić","SRB","GK","20",1997,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic"
2018,"Torino","Serie A","Salvatore Sirigu","ITA","GK","30",1987,37,37,3330,37,45,1.22,158,110,74.7,12,15,10,10,27,8,5,3,0,37.5,"https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu"
2018,"Tottenham","Premier League","Paulo Gazzaniga","ARG","GK","25",1992,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/63d17038/Paulo-Gazzaniga"
2018,"Tottenham","Premier League","Hugo Lloris","FRA","GK","30",1986,36,36,3240,36,35,0.97,117,82,71.8,22,7,7,15,41.7,3,2,0,1,0,"https://fbref.com/en/players/8f62b6ee/Hugo-Lloris"
2018,"Tottenham","Premier League","Michel Vorm","NED","GK","33",1983,1,1,90,1,1,1,4,4,75,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/1bebde9d/Michel-Vorm"
2018,"Toulouse","Ligue 1","Alban Lafont","CIV","GK","18",1999,38,38,3420,38,54,1.42,158,106,69.6,9,10,19,12,31.6,6,6,0,0,0,"https://fbref.com/en/players/4e7db402/Alban-Lafont"
2018,"Troyes","Ligue 1","Mamadou Samassa","MLI","GK","27",1990,21,21,1890,21,31,1.48,101,70,71.3,6,3,12,5,23.8,3,2,1,0,33.3,"https://fbref.com/en/players/cfe852d8/Mamadou-Samassa"
2018,"Troyes","Ligue 1","Erwin Zelazny","FRA","GK","25",1991,17,17,1530,17,28,1.65,92,64,71.7,3,3,11,3,17.6,2,2,0,0,0,"https://fbref.com/en/players/e750cba4/Erwin-Zelazny"
2018,"Udinese","Serie A","Albano Bizzarri","ARG","GK","39",1977,32,32,2880,32,52,1.62,143,92,65,11,4,17,8,25,5,2,2,1,50,"https://fbref.com/en/players/32b9b5fa/Albano-Bizzarri"
2018,"Udinese","Serie A","Simone Scuffet","ITA","GK","21",1996,6,6,540,6,11,1.83,27,16,59.3,1,0,5,1,16.7,1,0,1,0,100,"https://fbref.com/en/players/41bd99ea/Simone-Scuffet"
2018,"Valencia","La Liga","Jaume Doménech","ESP","GK","26",1990,5,5,450,5,5,1,21,16,76.2,4,0,1,2,40,0,0,0,0,NA,"https://fbref.com/en/players/c9cb972b/Jaume-Domenech"
2018,"Valencia","La Liga","Neto","BRA","GK","28",1989,33,33,2970,33,33,1,143,108,79,18,7,8,10,30.3,5,3,2,0,40,"https://fbref.com/en/players/a9dc785c/Neto"
2018,"Villarreal","La Liga","Sergio Asenjo","ESP","GK","28",1989,23,23,2070,23,30,1.3,93,60,71,12,3,8,6,26.1,6,3,3,0,50,"https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo"
2018,"Villarreal","La Liga","Mariano Barbosa","ARG","GK","33",1984,13,12,1125,12.5,14,1.12,48,34,72.9,6,3,3,5,41.7,1,1,0,0,0,"https://fbref.com/en/players/aad4f74f/Mariano-Barbosa"
2018,"Villarreal","La Liga","Andrés Fernández","ESP","GK","30",1986,3,3,225,2.5,6,2.4,16,10,68.8,0,1,2,0,0,1,1,0,0,0,"https://fbref.com/en/players/307fcd26/Andres-Fernandez"
2018,"Watford","Premier League","Heurelho Gomes","BRA","GK","36",1981,24,24,2128,23.6,40,1.69,100,61,63,7,5,12,5,20.8,3,3,0,0,0,"https://fbref.com/en/players/d596e193/Heurelho-Gomes"
2018,"Watford","Premier League","Orestis Karnezis","GRE","GK","32",1985,15,14,1292,14.4,24,1.67,56,32,62.5,4,3,7,4,28.6,3,3,0,0,0,"https://fbref.com/en/players/85b011bb/Orestis-Karnezis"
2018,"Werder Bremen","Bundesliga","Jiří Pavlenka","CZE","GK","25",1992,34,34,3060,34,40,1.18,162,123,76.5,10,12,12,8,23.5,4,2,1,1,33.3,"https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka"
2018,"West Brom","Premier League","Ben Foster","ENG","GK","34",1983,37,37,3330,37,55,1.49,151,98,64.2,6,12,19,10,27,1,1,0,0,0,"https://fbref.com/en/players/d0b3ceb9/Ben-Foster"
2018,"West Brom","Premier League","Boaz Myhill","WAL","GK","34",1982,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/7ca2d989/Boaz-Myhill"
2018,"West Ham","Premier League","Adrián","ESP","GK","30",1987,19,19,1710,19,29,1.53,96,68,70.8,7,6,6,6,31.6,1,1,0,0,0,"https://fbref.com/en/players/f76e6b4e/Adrian"
2018,"West Ham","Premier League","Joe Hart","ENG","GK","30",1987,19,19,1710,19,39,2.05,91,51,61.5,3,6,10,4,21.1,5,4,1,0,20,"https://fbref.com/en/players/cb4f24c6/Joe-Hart"
2018,"Wolfsburg","Bundesliga","Koen Casteels","BEL","GK","25",1992,34,34,3060,34,48,1.41,153,104,72.5,6,15,13,8,23.5,9,6,3,0,33.3,"https://fbref.com/en/players/db401046/Koen-Casteels"
2019,"Alavés","La Liga","Fernando Pacheco","ESP","GK","26",1992,35,35,3150,35,46,1.31,154,110,74,11,11,13,8,22.9,6,6,0,0,0,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
2019,"Alavés","La Liga","Antonio Sivera","ESP","GK","21",1996,3,3,270,3,4,1.33,13,9,69.2,2,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2019,"Amiens","Ligue 1","Régis Gurtner","FRA","GK","31",1986,38,38,3420,38,52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,1,25,"https://fbref.com/en/players/bc270726/Regis-Gurtner"
2019,"Angers","Ligue 1","Zacharie Boucher","FRA","GK","26",1992,2,2,180,2,1,0.5,4,3,75,1,1,0,1,50,0,0,0,0,NA,"https://fbref.com/en/players/249cdcff/Zacharie-Boucher"
2019,"Angers","Ligue 1","Ludovic Butelle","FRA","GK","35",1983,36,36,3239,36,48,1.33,161,113,72,9,15,12,11,30.6,5,3,2,0,40,"https://fbref.com/en/players/26975a92/Ludovic-Butelle"
2019,"Arsenal","Premier League","Petr Čech","CZE","GK","36",1982,7,7,585,6.5,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,0,NA,"https://fbref.com/en/players/71672fa0/Petr-Cech"
2019,"Arsenal","Premier League","Bernd Leno","GER","GK","26",1992,32,31,2835,31.5,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
2019,"Atalanta","Serie A","Etrit Berisha","ALB","GK","29",1989,18,18,1620,18,25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,1,0,"https://fbref.com/en/players/ee833569/Etrit-Berisha"
2019,"Atalanta","Serie A","Pierluigi Gollini","ITA","GK","23",1995,20,20,1800,20,21,1.05,70,49,74.3,11,6,3,4,20,3,3,0,0,0,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
2019,"Atalanta","Serie A","Francesco Rossi","ITA","GK","27",1991,1,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/7b5f516f/Francesco-Rossi"
2019,"Athletic Club","La Liga","Iago Herrerín","ESP","GK","30",1988,31,31,2790,31,32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,0,"https://fbref.com/en/players/9109185e/Iago-Herrerin"
2019,"Athletic Club","La Liga","Unai Simón","ESP","GK","21",1997,7,7,630,7,13,1.86,33,20,66.7,1,4,2,0,0,2,2,0,0,0,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
2019,"Atlético Madrid","La Liga","Antonio Adán","ESP","GK","31",1987,2,1,90,1,2,2,7,5,71.4,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/65d62814/Antonio-Adan"
2019,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","25",1993,37,37,3330,37,27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,0,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
2019,"Augsburg","Bundesliga","Fabian Giefer","GER","GK","28",1990,4,4,360,4,7,1.75,19,12,63.2,1,1,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/fbefefdb/Fabian-Giefer"
2019,"Augsburg","Bundesliga","Gregor Kobel","SUI","GK","20",1997,16,16,1390,15.4,42,2.72,93,51,55.9,4,2,10,3,18.8,2,1,1,0,50,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel"
2019,"Augsburg","Bundesliga","Andreas Luthe","GER","GK","31",1987,15,14,1310,14.6,22,1.51,78,57,71.8,3,5,6,2,14.3,0,0,0,0,NA,"https://fbref.com/en/players/7fe12375/Andreas-Luthe"
2019,"Barcelona","La Liga","Jasper Cillessen","NED","GK","29",1989,3,3,270,3,4,1.33,14,10,78.6,1,1,1,1,33.3,1,1,0,0,0,"https://fbref.com/en/players/04ac8285/Jasper-Cillessen"
2019,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","26",1992,35,35,3150,35,32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,0,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
2019,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","32",1986,26,26,2303,25.6,23,0.9,56,34,64.3,20,3,3,10,38.5,3,3,0,0,0,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
2019,"Bayern Munich","Bundesliga","Sven Ulreich","GER","GK","29",1988,9,8,757,8.4,9,1.07,23,14,69.6,4,3,1,2,25,3,2,0,1,0,"https://fbref.com/en/players/7d3e7da6/Sven-Ulreich"
2019,"Betis","La Liga","Pau López","ESP","GK","23",1994,33,33,2970,33,47,1.42,134,86,67.2,12,7,14,10,30.3,4,3,1,0,25,"https://fbref.com/en/players/20b9f052/Pau-Lopez"
2019,"Betis","La Liga","Joel Robles","ESP","GK","28",1990,5,5,450,5,5,1,21,16,81,2,1,2,1,20,1,1,0,0,0,"https://fbref.com/en/players/cda0b317/Joel-Robles"
2019,"Bologna","Serie A","Łukasz Skorupski","POL","GK","27",1991,38,38,3420,38,56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0,"https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski"
2019,"Bordeaux","Ligue 1","Benoît Costil","FRA","GK","31",1987,37,37,3330,37,42,1.14,152,109,76.3,9,11,17,9,24.3,7,6,1,0,14.3,"https://fbref.com/en/players/2434f24a/Benoit-Costil"
2019,"Bordeaux","Ligue 1","Gaëtan Poussin","FRA","GK","19",1999,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/c252c705/Gaetan-Poussin"
2019,"Bournemouth","Premier League","Asmir Begović","BIH","GK","31",1987,24,24,2160,24,47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,0,"https://fbref.com/en/players/7b4de647/Asmir-Begovic"
2019,"Bournemouth","Premier League","Artur Boruc","POL","GK","38",1980,12,12,1080,12,18,1.5,56,38,73.2,4,3,5,4,33.3,3,3,0,0,0,"https://fbref.com/en/players/34ccf6fa/Artur-Boruc"
2019,"Bournemouth","Premier League","Mark Travers","IRL","GK","19",1999,2,2,180,2,5,2.5,13,9,61.5,1,0,1,1,50,0,0,0,0,NA,"https://fbref.com/en/players/fe558029/Mark-Travers"
2019,"Brighton","Premier League","David Button","ENG","GK","29",1989,4,4,360,4,5,1.25,18,13,83.3,1,1,2,1,25,2,2,0,0,0,"https://fbref.com/en/players/e608ed4c/David-Button"
2019,"Brighton","Premier League","Mathew Ryan","AUS","GK","26",1992,34,34,3060,34,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0,"https://fbref.com/en/players/4535e4bb/Mathew-Ryan"
2019,"Burnley","Premier League","Joe Hart","ENG","GK","31",1987,19,19,1710,19,41,2.16,116,75,65.5,3,3,13,4,21.1,2,1,1,0,50,"https://fbref.com/en/players/cb4f24c6/Joe-Hart"
2019,"Burnley","Premier League","Tom Heaton","ENG","GK","32",1986,19,19,1710,19,27,1.42,83,59,68.7,8,4,7,4,21.1,1,1,0,0,0,"https://fbref.com/en/players/a6de6361/Tom-Heaton"
2019,"Caen","Ligue 1","Brice Samba","FRA","GK","24",1994,38,38,3420,38,54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,0,25,"https://fbref.com/en/players/60d90c55/Brice-Samba"
2019,"Cagliari","Serie A","Alessio Cragno","ITA","GK","24",1994,38,38,3420,38,54,1.42,205,151,77.6,10,11,17,7,18.4,10,8,2,0,20,"https://fbref.com/en/players/f554e29b/Alessio-Cragno"
2019,"Cardiff City","Premier League","Neil Etheridge","PHI","GK","28",1990,38,38,3420,38,69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,0,42.9,"https://fbref.com/en/players/2642bf6c/Neil-Etheridge"
2019,"Celta Vigo","La Liga","Sergio Álvarez","ESP","GK","31",1986,13,13,1170,13,22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,0,"https://fbref.com/en/players/8875b8c9/Sergio-Alvarez"
