"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2018,"Toulouse","Ligue 1","Alban Lafont","CIV","GK","18",1999,38,54,6,3,6,2,52.2,0.3,0.2,0.01,315,740,42.6,931,166,51.9,39.6,331,77.6,54.6,565,23,4.1,79,2.08,17.7,"https://fbref.com/en/players/4e7db402/Alban-Lafont"
2018,"Troyes","Ligue 1","Mamadou Samassa","MLI","GK","27",1990,21,31,2,0,3,1,28.9,0.26,-1.1,-0.05,130,414,31.4,475,99,51.4,41.3,184,92.4,59.6,365,21,5.8,21,1,13.8,"https://fbref.com/en/players/cfe852d8/Mamadou-Samassa"
2018,"Troyes","Ligue 1","Erwin Zelazny","FRA","GK","25",1991,17,28,2,0,3,0,25.9,0.27,-2.1,-0.13,145,413,35.1,481,74,53.8,40.7,173,89,58.3,285,10,3.5,9,0.53,10.5,"https://fbref.com/en/players/e750cba4/Erwin-Zelazny"
2018,"Udinese","Serie A","Albano Bizzarri","ARG","GK","39",1977,32,52,2,1,9,4,44.6,0.29,-3.4,-0.11,253,576,43.9,791,141,45.5,38,300,72,48.8,525,25,4.8,30,0.94,13.1,"https://fbref.com/en/players/32b9b5fa/Albano-Bizzarri"
2018,"Udinese","Serie A","Simone Scuffet","ITA","GK","21",1996,6,11,0,0,2,1,8.5,0.28,-1.5,-0.26,28,93,30.1,115,23,51.3,38.6,42,81,51.3,80,1,1.3,2,0.33,11.1,"https://fbref.com/en/players/41bd99ea/Simone-Scuffet"
2018,"Valencia","La Liga","Jaume Doménech","ESP","GK","26",1990,5,5,0,0,1,0,6.9,0.34,1.9,0.39,18,48,37.5,106,31,25.5,29.2,34,61.8,48.8,81,2,2.5,3,0.6,11.9,"https://fbref.com/en/players/c9cb972b/Jaume-Domenech"
2018,"Valencia","La Liga","Neto","BRA","GK","28",1989,33,33,3,1,4,0,43.7,0.28,10.7,0.33,170,488,34.8,541,150,49.7,39.7,277,79.1,56.6,541,21,3.9,7,0.21,9.6,"https://fbref.com/en/players/a9dc785c/Neto"
2018,"Villarreal","La Liga","Sergio Asenjo","ESP","GK","28",1989,23,30,3,1,2,0,32,0.29,2,0.09,124,346,35.8,454,118,43.8,37.4,200,73.5,52.8,399,26,6.5,26,1.13,12.8,"https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo"
2018,"Villarreal","La Liga","Mariano Barbosa","ARG","GK","33",1984,12.5,14,1,0,2,0,13.8,0.28,-0.2,-0.01,46,152,30.3,230,57,30.4,32.4,105,78.1,54.1,243,5,2.1,5,0.4,10,"https://fbref.com/en/players/aad4f74f/Mariano-Barbosa"
2018,"Villarreal","La Liga","Andrés Fernández","ESP","GK","30",1986,2.5,6,1,0,2,0,5,0.26,-1,-0.42,10,34,29.4,42,9,38.1,32,27,66.7,48.2,45,0,0,5,2,16.1,"https://fbref.com/en/players/307fcd26/Andres-Fernandez"
2018,"Watford","Premier League","Heurelho Gomes","BRA","GK","36",1981,23.6,40,3,1,7,1,36,0.34,-3,-0.13,199,483,41.2,566,115,60.4,42.3,179,78.8,56.5,342,15,4.4,18,0.76,12.2,"https://fbref.com/en/players/d596e193/Heurelho-Gomes"
2018,"Watford","Premier League","Orestis Karnezis","GRE","GK","32",1985,14.4,24,3,0,2,0,19.8,0.31,-4.2,-0.29,121,321,37.7,323,31,76.2,48.2,81,92.6,58,182,10,5.5,9,0.63,13.4,"https://fbref.com/en/players/85b011bb/Orestis-Karnezis"
2018,"Werder Bremen","Bundesliga","Jiří Pavlenka","CZE","GK","25",1992,34,40,2,0,6,2,42,0.25,4,0.12,234,576,40.6,915,185,44.7,38.6,256,65.2,49.6,482,27,5.6,17,0.5,10.7,"https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka"
2018,"West Brom","Premier League","Ben Foster","ENG","GK","34",1983,37,55,1,2,7,2,45.7,0.3,-7.3,-0.2,346,904,38.3,811,70,71.6,48.5,338,95.6,65.7,592,37,6.3,27,0.73,12.8,"https://fbref.com/en/players/d0b3ceb9/Ben-Foster"
2018,"West Brom","Premier League","Boaz Myhill","WAL","GK","34",1982,1,1,0,0,0,0,0.3,0.12,-0.7,-0.65,7,16,43.8,12,0,83.3,50.2,7,85.7,53.4,22,3,13.6,0,0,7.5,"https://fbref.com/en/players/7ca2d989/Boaz-Myhill"
2018,"West Ham","Premier League","Adrián","ESP","GK","30",1987,19,29,1,1,6,1,27.8,0.29,-0.2,-0.01,154,445,34.6,383,47,72.8,47.7,184,90.2,59.3,316,13,4.1,31,1.63,16,"https://fbref.com/en/players/f76e6b4e/Adrian"
2018,"West Ham","Premier League","Joe Hart","ENG","GK","30",1987,19,39,4,0,4,0,32.8,0.32,-6.2,-0.33,175,469,37.3,441,52,72.1,49.1,155,97.4,67,284,4,1.4,11,0.58,13,"https://fbref.com/en/players/cb4f24c6/Joe-Hart"
2018,"Wolfsburg","Bundesliga","Koen Casteels","BEL","GK","25",1992,34,48,6,1,4,2,50.4,0.28,4.4,0.13,248,654,37.9,1043,210,44.2,38,288,67,52,522,57,10.9,30,0.88,12.1,"https://fbref.com/en/players/db401046/Koen-Casteels"
2019,"Alavés","La Liga","Fernando Pacheco","ESP","GK","26",1992,35,46,6,3,1,2,50,0.3,6,0.17,292,714,40.9,749,87,61,42.8,294,87.4,56,557,19,3.4,40,1.14,15.6,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
